t,create,delegate,compete,old_weights_value,current_weights_value,average_capability,average_authorship
0,0.13599938094589387,0.5970883063871525,0.2669123126669537,0.6841255526079892,0.6841255526079892,0.6799999999999999,0.86
1,0.13638821919330207,0.5968455337099263,0.2667662470967717,0.6843915861209304,0.6843902673415371,0.6804145429917117,0.8581754618427597
2,0.13679151520714955,0.5965923537909468,0.26661613100190373,0.6846594467170279,0.6846610323231987,0.6808400208029945,0.8563627689026304
3,0.1372096832318339,0.59632847617954,0.26646184058862615,0.6849292664028204,0.6849381193949593,0.6812768469142185,0.8545623736871383
4,0.13764315421679593,0.596053598793508,0.26630324698969615,0.6852011846315668,0.6852218162243664,0.6817254466141167,0.8527747416013631
5,0.13809237668300578,0.5957674073104591,0.2661402160065352,0.6854753487420193,0.6855124273098087,0.682186257475569,0.8510003514673399
6,0.13855781763840488,0.5954695745248273,0.26597260783676785,0.685751914429047,0.6858102750591535,0.6826597298560919,0.8492396960704485
7,0.1390399635453169,0.5951597596684747,0.26580027678620843,0.686031046248679,0.686115700947808,0.6831463274244278,0.8474932827343165
8,0.13953932134303304,0.5948376076926306,0.2656230709643363,0.6863129181603671,0.6864290667628163,0.6836465277147183,0.84576163392585
9,0.14005641952897452,0.594502748508788,0.2654408319622375,0.6865977141095061,0.6867507559402086,0.684160822709831,0.8440452878921154
10,0.1405918093020473,0.5941547961860242,0.26525339451192864,0.6868856286535252,0.6870811750034772,0.6846897194555115,0.8423447993308878
11,0.14114606577202168,0.5937933481020649,0.2650605861259135,0.6871768676351593,0.6874207551117854,0.6852337407071325,0.8406607400968114
12,0.14171978923900164,0.5934179840452447,0.2648622267157537,0.6874716489068268,0.6877699537273069,0.6857934256109227,0.8389936999452188
13,0.14231360654728517,0.5930282652643519,0.2646581281883629,0.6877702031104028,0.6881292564119758,0.6863693304216716,0.837344287315798
14,0.14292817251816708,0.5926237334631722,0.2644480940186609,0.6880727745170576,0.6884991787648912,0.6869620292590319,0.8357131301584171
15,0.14356417146648912,0.5922039097363644,0.2642319187971466,0.6883796219322599,0.6888802685126797,0.6875721149046702,0.8341008768035685
16,0.14422231880600458,0.5917682934431239,0.26400938775087157,0.6886910196715106,0.6892731077662914,0.6882001996426506,0.8325081968800375
17,0.14490336274888999,0.5913163610148946,0.26378027623621547,0.6890072586128823,0.689678315458985,0.6888469161455851,0.8309357822825603
18,0.14560808610500398,0.5908475646932112,0.2635443492017849,0.6893286473330014,0.6900965499816811,0.6895129184092328,0.8293843481924021
19,0.14633730818675905,0.5903613311935623,0.2633013606196788,0.6896555133337248,0.6905285120334128,0.6901988827383919,0.8278546341539617
20,0.14709188682573276,0.5898570602909836,0.2630510528832836,0.6899882043674346,0.6909749477063272,0.6909055087870931,0.8263474052106871
21,0.14787272050739364,0.5893341233229173,0.262793156169689,0.6903270898696149,0.6914366518265753,0.6916335206562815,0.8248634531037843
22,0.1486807506305497,0.5887918616047076,0.2625273877647427,0.6906725625081794,0.6919144715745169,0.6923836680523517,0.8234035975373936
23,0.14951696389833413,0.5882295847529608,0.26225345134870504,0.6910250398599079,0.6924093104099492,0.6931567275100919,0.8219686875141161
24,0.15038239484771437,0.5876465689118773,0.2619710362404085,0.6913849662253144,0.6929221323306073,0.6939535036837856,0.8205596027449861
25,0.15127812852463418,0.5870420548775725,0.2616798165977933,0.6917528145943298,0.6934539664949443,0.6947748307104189,0.8191772551382
26,0.15220530331195986,0.5864152461153695,0.26137945057267065,0.6921290887763419,0.6940059122432722,0.695621573649147,0.817822590371137
27,0.15316511391738383,0.5857653066650461,0.2610695794175701,0.6925143257093929,0.6945791445546933,0.6964946300013691,0.8164965895504266
28,0.15415881452831304,0.585091358929119,0.260749826542568,0.6929090979647152,0.6951749199809505,0.6973949313159785,0.815200270965042
29,0.15518772214052287,0.5843924813394138,0.2604197965200634,0.6933140164642848,0.6957945831023776,0.6983234448845407,0.81393469193762
30,0.15625322006693781,0.5836677058974643,0.2600790740355979,0.6937297334306916,0.6964395735555747,0.6992811755313567,0.8127009507794133
31,0.15735676163228782,0.5829160155847162,0.25972722278299604,0.6941569455904003,0.6971114336873057,0.7002691675035428,0.8115001888544839
32,0.15849987405852517,0.5821363416391103,0.2593637843023646,0.6945963976533692,0.6978118168944331,0.7012885064664265,0.8103335927589248
33,0.15968416254471557,0.5813275606954484,0.258988276759836,0.6950488860940568,0.698542496715522,0.702340321609694,0.8092023966210458
34,0.16091131454357827,0.5804884917880152,0.2586001936684066,0.6955152632610415,0.6993053767460621,0.7034257878698347,0.8081078845285785
35,0.1621831042348517,0.5796178932153339,0.25819900254981454,0.6959964418448384,0.7001025014561258,0.704546128274484,0.8070513930890229
36,0.16350139719311835,0.5787144592687151,0.25778414353816653,0.6964933997359907,0.7009360679967143,0.7057026164142787,0.8060343141292601
37,0.16486815524450843,0.5777768168285073,0.25735502792698434,0.697007185308149,0.7018084390890365,0.706896579047763,0.8050580975404866
38,0.16628544150269026,0.5768035218347686,0.2569110366625412,0.6975389231636063,0.7027221570995595,0.7081293988447332,0.80412425427435
39,0.16775542556957718,0.5757930556425693,0.25645151878785344,0.698089820381596,0.7036799594128067,0.7094025172731266,0.803234359495863
