t,create,delegate,compete,old_weights_value,current_weights_value,average_capability,average_authorship
0,0.13599938094589387,0.5970883063871525,0.2669123126669537,0.6841255526079892,0.6841255526079892,0.6799999999999999,0.86
1,0.13638821919330207,0.5968455337099263,0.2667662470967717,0.6843915861209304,0.6843902673415371,0.6804145429917117,0.8581754618427597
2,0.13679151520714955,0.5965923537909468,0.26661613100190373,0.6846594467170279,0.6846610323231987,0.6808400208029945,0.8563627689026304
3,0.1372096832318339,0.59632847617954,0.26646184058862615,0.6849292664028204,0.6849381193949593,0.6812768469142185,0.8545623736871383
4,0.13764315421679593,0.596053598793508,0.26630324698969615,0.6852011846315668,0.6852218162243664,0.6817254466141167,0.8527747416013631
5,0.09207842922692483,0.699812221425189,0.20810934934788636,0.7279337787433333,0.8585105480013453,0.7621862574755691,0.6510003514673399
6,0.09188175555165191,0.6999691211778245,0.20814912327052368,0.7281062596519268,0.8586260531644946,0.7609891570991162,0.6471789552605426
7,0.09168636579865935,0.7001247873334587,0.20818884686788194,0.7282771388600175,0.8587405080155786,0.7597863553820183,0.643351269339028
8,0.09149223305239601,0.7002792443104204,0.20822852263718364,0.7284464275972716,0.8588539114461878,0.7585778905903175,0.6395173365948266
9,0.09129933043561272,0.7004325164838374,0.20826815308054994,0.7286141370340448,0.8589662626671658,0.7573638001950753,0.6356771990334203
10,0.09110763111963466,0.7005846281762472,0.20830774070411823,0.728780278273716,0.8590775611986423,0.7561441208735464,0.6318308977750771
11,0.0909171083342098,0.7007356036485988,0.2083472880171915,0.7289448623453426,0.8591878068601956,0.7549188885106561,0.6279784730565258
12,0.09072773537694545,0.7008854670916361,0.20838679753141848,0.7291079001966295,0.8592969997611473,0.7536881382007683,0.6241199642329558
13,0.09053948562234525,0.7010342426176518,0.20842627176000303,0.7292694026872089,0.8594051402910002,0.7524519042497338,0.6202554097803277
14,0.09035233253045893,0.7011819542525993,0.20846571321694182,0.7294293805822218,0.8595122291100248,0.7512102201772043,0.6163848472979818
15,0.09016624965515704,0.7013286259285536,0.2085051244162894,0.7295878445461965,0.8596182671399974,0.7499631187192026,0.612508313511533
16,0.08998121065204337,0.701474281476508,0.20854450787144863,0.7297448051372141,0.8597232555551014,0.7487106318309389,0.608625844276037
17,0.08979718928601735,0.7016189446194965,0.20858386609448626,0.7299002728013579,0.8598271957729882,0.7474527906898574,0.6047374745794187
18,0.08961415943849835,0.7017626389660299,0.20862320159547187,0.7300542578674376,0.85993008944601,0.7461896256989103,0.6008432385461486
19,0.0894320951143253,0.7019053880038358,0.20866251688183884,0.7302067705419821,0.860031938452622,0.7449211664900427,0.5969431694411583
20,0.08925097044834267,0.7020472150938903,0.20870181445776703,0.7303578209044936,0.8601327448889613,0.7436474419278816,0.5930372996739829
21,0.08907075971168583,0.7021881434647292,0.20874109682358488,0.7305074189029575,0.8602325110606023,0.7423684801136208,0.5891256608031199
22,0.08889143731777788,0.7023281962070317,0.20878036647519047,0.730655574349598,0.8603312394744934,0.7410843083890892,0.5852082835405956
23,0.08871297782804906,0.7024673962684606,0.20881962590349037,0.7308022969168784,0.8604289328310759,0.7397949533409987,0.5812851977567285
24,0.08853535595739208,0.702605766448753,0.20885887759385496,0.7309475961337315,0.8605255940165859,0.7385004408053575,0.5773564324850807
25,0.08835854657936346,0.7027433293950478,0.20889812402558877,0.7310914813820203,0.8606212260955417,0.7372007958720486,0.5734220159275889
26,0.08818252473114378,0.7028801075974406,0.20893736767141566,0.7312339618932193,0.8607158323034161,0.7358960428895575,0.5694819754598663
27,0.0880072656182674,0.7030161233847559,0.2089766109969767,0.7313750467453088,0.8608094160394962,0.7345862054698489,0.5655363376366673
28,0.08783274461913301,0.7031513989205267,0.2090158564603403,0.731514744859878,0.8609019808599281,0.7332713064933817,0.5615851281975074
29,0.08765893728930663,0.70328595619917,0.20905510651152337,0.7316530649994291,0.8609935304709482,0.7319513681142573,0.5576283720724311
30,0.08748581936562672,0.7034198170423509,0.20909436359202244,0.7317900157648758,0.8610840687223007,0.7306264117654943,0.553666093387921
31,0.0873133667701233,0.703553003095523,0.20913363013435377,0.7319256055932317,0.861173599600839,0.7292964581644232,0.5496983154729411
32,0.08714155561376047,0.7036855358246382,0.20917290856160134,0.7320598427554801,0.8612621272243122,0.7279615273181986,0.5457250608651083
33,0.08697036220001336,0.703817436513015,0.20921220128697174,0.7321927353546193,0.8613496558353335,0.7266216385294193,0.5417463513169868
34,0.0867997630282888,0.7039487262583559,0.20925151071335532,0.7323242913238812,0.8614361897955302,0.7252768104018547,0.5377622078024982
35,0.0866297347971999,0.7040794259699079,0.2092908392328921,0.7324545184251119,0.8615217335798737,0.7239270608462701,0.5337726505234448
36,0.08646025440770383,0.7042095563657542,0.20933018922654198,0.7325834242473124,0.8616062917711865,0.7225724070863505,0.5297776989161381
37,0.08629129896611248,0.7043391379702295,0.2093695630636581,0.7327110162053321,0.861689869054826,0.7212128656647143,0.5257773716581303
38,0.0861228457869845,0.7044681911114528,0.20940896310156265,0.7328373015387097,0.8617724702135415,0.7198484524490161,0.5217716866750437
39,0.08595487239590792,0.7045967359189679,0.20944839168512425,0.7329622873106588,0.8618541001225014,0.7184791826381334,0.5177606611474931
