year,demand_kw,served_kw,curtailed_kw,earth_add_kw,local_fabricated_kw,local_commissioned_kw,earth_capacity_kw,local_capacity_kw,factory_load_kw,overhead_kw,cash_cost,discounted_cost
0,10000.0,10000.0,0.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,265150000.0,265150000.0
1,10500.0,10500.0,0.0,800.0,0.0,0.0,10500.0,0.0,0.0,0.0,21357500.0,19775462.962962963
2,11025.0,11025.0,0.0,840.0,0.0,0.0,11025.0,0.0,0.0,0.0,22425375.0,19226144.5473251
3,11576.250000000002,11576.250000000002,0.0,882.0000000000018,0.0,0.0,11576.250000000002,0.0,0.0,0.0,23546643.75000005,18692084.97656611
4,12155.062500000002,12155.062500000002,0.0,926.1000000000004,0.0,0.0,12155.062500000002,0.0,0.0,0.0,24723975.93750001,18172860.393883687
5,12762.815625000003,12762.815625000003,0.0,972.4050000000007,0.0,0.0,12762.815625000003,0.0,0.0,0.0,25960174.73437502,17668058.716275807
6,13400.956406250005,13400.956406250005,0.0,1021.0252500000024,0.0,0.0,13400.956406250005,0.0,0.0,0.0,27258183.471093815,17177279.307490397
7,14071.004226562505,14071.004226562505,0.0,1072.0765125000016,0.0,0.0,14071.004226562505,0.0,0.0,0.0,28621092.644648477,16700132.66006009
8,14774.55443789063,14774.55443789063,0.0,1125.680338125001,0.0,0.0,14774.55443789063,0.0,0.0,0.0,30052147.276880886,16236240.086169524
9,15513.282159785162,15513.282159785162,0.0,1181.9643550312503,0.0,0.0,15513.282159785162,0.0,0.0,0.0,31554754.640724912,15785233.41710925
10,16288.94626777442,16288.94626777442,0.0,1241.0625727828137,0.0,0.0,16288.94626777442,0.0,0.0,0.0,33132492.372761182,15346754.711078446
11,17103.39358116314,17103.39358116314,0.0,1303.1157014219552,0.0,0.0,17103.39358116314,0.0,0.0,0.0,34789116.991399266,14920455.969104055
12,17958.5632602213,17958.5632602213,0.0,1368.271486493053,0.0,0.0,17958.5632602213,0.0,0.0,0.0,36528572.84096923,14505998.858851163
13,18856.491423232368,18856.491423232368,0.0,1436.6850608177083,0.0,0.0,18856.491423232368,0.0,0.0,0.0,38355001.48301776,14103054.44610532
14,19799.315994393986,19799.315994393986,0.0,1508.5193138585892,0.0,0.0,19799.315994393986,0.0,0.0,0.0,40272751.55716852,13711302.933713464
