year,demand_kw,served_kw,curtailed_kw,earth_add_kw,local_fabricated_kw,local_commissioned_kw,earth_capacity_kw,local_capacity_kw,factory_load_kw,overhead_kw,cash_cost,discounted_cost
0,10000.0,10000.0,0.0,10100.0,0.0,0.0,10100.0,0.0,0.0,100.0,268801500.0,268801500.0
1,10500.0,10500.0,0.0,803.0,0.0,0.0,10600.0,0.0,0.0,100.0,22438500.0,20776388.888888888
2,11025.0,11025.0,0.0,933.955806783144,796.772867420349,0.0,11215.955806783144,0.0,90.95580678314487,100.0,27511613.951695763,23586774.649944924
3,11576.250000000002,11576.250000000002,0.0,95.48818088386543,836.4764645426523,796.772867420349,10974.965313463515,796.772867420349,95.4881808838644,100.0,5368014.202209691,4261302.743968217
4,12155.062500000002,12155.062500000002,0.0,100.24717368962229,878.1652415210692,836.4764645426523,10745.963527749233,1609.3461459403907,100.24717368961977,100.0,5574070.038733368,4097107.880047308
5,12762.815625000003,12762.815625000003,0.0,105.2441161356619,921.9384573484067,878.1652415210692,10528.828738052418,2439.231003083248,105.24411613566286,100.0,5790778.42336264,3941106.4926862204
6,13400.956406250005,13400.956406250005,0.0,110.49090570400949,967.9003339671117,921.9384573484067,10323.454781614855,3287.9925303391574,110.49090570400818,100.0,6018661.490814698,3792777.666002408
7,14071.004226562505,14071.004226562505,0.0,116.00003475077028,1016.1603044167523,967.9003339671117,10129.75117291718,4157.253088396094,116.00003475077081,100.0,6258267.797322676,3651639.150716091
8,14774.55443789063,14774.55443789063,0.0,121.78462024987311,1066.8332733888758,1016.1603044167523,9947.643257979538,5048.695800160964,121.78462024987167,100.0,6510173.632269083,3517244.2462201924
9,15513.282159785162,15513.282159785162,0.0,127.85843502392709,1120.0398908096015,1066.8332733888758,9777.072395264078,5964.06819954501,127.8584350239271,100.0,6774984.395682232,3389178.9462717883
10,16288.94626777442,16288.94626777442,1.8189894035458565e-12,134.2359405366915,1175.90683910137,1120.0398908096015,9617.996163942847,6905.186044368261,134.23594053668606,100.0,7053336.044884208,3267059.3252633465
11,17103.39358116314,17103.39358116314,0.0,140.9323213250791,1234.5671348077212,1175.90683910137,9470.388600349641,7873.937302138583,140.9323213250823,100.0,7345896.613735283,3150529.1440976993
12,17958.5632602213,17958.5632602213,0.0,147.9635211529021,1296.1604452993945,1234.5671348077212,9334.240463492053,8872.286317882146,147.96352115289892,100.0,7653367.808103075,3039257.6565760435
13,18856.491423232368,18856.491423232368,0.0,155.3462809721059,1360.833421315647,1296.1604452993945,9209.559530559398,9902.278173645076,155.3462809721058,100.0,7976486.681350492,2932937.5989081315
14,19799.315994393986,19799.315994393986,0.0,0.0,0.0,1360.833421315647,8933.272744642616,10966.04324975137,0.0,100.0,1133999.0911696393,386082.5114844937
