factory_start_year,critical_import_kg_per_kw,launch_per_kg,earth_npv,local_npv,saving_local,preferred
0,0.3,1000,123352170.2122777,151235312.25532827,-27883142.043050572,earth
0,0.3,2500,263534255.37768432,256054455.4487079,7479799.928976417,local
0,0.3,5000,497171063.9866954,430753027.4376739,66418036.54902148,local
0,2.0,1000,123352170.2122777,165642031.39846843,-42289861.18619074,earth
0,2.0,2500,263534255.37768432,292071253.3065581,-28536997.928873748,earth
0,2.0,5000,497171063.9866954,502786623.1533742,-5615559.166678786,earth
0,4.0,1000,123352170.2122777,182591112.74333903,-59238942.53106134,earth
0,4.0,2500,263534255.37768432,334443956.6687346,-70909701.29105029,earth
0,4.0,5000,497171063.9866954,587532029.8777273,-90360965.89103186,earth
2,0.3,1000,123352170.2122777,158713890.7405498,-35361720.52827211,earth
2,0.3,2500,263534255.37768432,272667764.30074704,-9133508.923062712,earth
2,0.3,5000,497171063.9866954,462590886.9010756,34580177.08561981,local
2,2.0,1000,123352170.2122777,170696939.859709,-47344769.6474313,earth
2,2.0,2500,263534255.37768432,302625387.09864503,-39091131.72096071,earth
2,2.0,5000,497171063.9866954,522506132.49687195,-25335068.51017654,earth
2,4.0,1000,123352170.2122777,184794644.70577866,-61442474.49350096,earth
2,4.0,2500,263534255.37768432,337869649.21381927,-74335393.83613494,earth
2,4.0,5000,497171063.9866954,592994656.7272202,-95823592.74052477,earth
5,0.3,1000,123352170.2122777,169146537.53279588,-45794367.32051818,earth
5,0.3,2500,263534255.37768432,295867507.93489563,-32333252.55721131,earth
5,0.3,5000,497171063.9866954,507069125.2717284,-9898061.285032988,earth
5,2.0,1000,123352170.2122777,177742159.91176564,-54389989.69948794,earth
5,2.0,2500,263534255.37768432,317356563.88231987,-53822308.50463554,earth
5,2.0,5000,497171063.9866954,550047237.1665771,-52876173.17988169,earth
5,4.0,1000,123352170.2122777,187854656.82820067,-64502486.61592297,earth
5,4.0,2500,263534255.37768432,342637806.1734075,-79103550.79572317,earth
5,4.0,5000,497171063.9866954,600609721.748752,-103438657.76205659,earth
8,0.3,1000,123352170.2122777,178700332.82214758,-55348162.60986988,earth
8,0.3,2500,263534255.37768432,317148588.0789145,-53614332.7012302,earth
8,0.3,5000,497171063.9866954,547895680.173526,-50724616.18683064,earth
8,2.0,1000,123352170.2122777,184184416.31342453,-60832246.10114683,earth
8,2.0,2500,263534255.37768432,330858796.807107,-67324541.42942265,earth
8,2.0,5000,497171063.9866954,575316097.629911,-78145033.64321554,earth
8,4.0,1000,123352170.2122777,190636279.24433866,-67284109.03206097,earth
8,4.0,2500,263534255.37768432,346988454.13439214,-83454198.75670782,earth
8,4.0,5000,497171063.9866954,607575412.2844812,-110404348.29778576,earth
